<SemiconductorModuleTests>										
	<StepName>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>
	Test continuity on all pins	Continuity Sinking	100	Digital	0.5	2		V	Numeric Limit	3
	Test continuity on all pins	Continuity Sinking - Vcc	110	Vcc	0.5	2		V	Numeric Limit	3
	Test continuity on all pins	Continuity Sinking - Gnd	111	Gnd	0.5	2		V	Numeric Limit	3
	Test continuity on all pins	Continuity Sourcing	120	Digital	0.5	2		V	Numeric Limit	3
	Test continuity on all pins	Continuity Sourcing - Vcc	130	Vcc	0.5	2		V	Numeric Limit	3
	Test continuity on all pins	Continuity Sourcing - Gnd	131	Gnd	0.5	2		V	Numeric Limit	3
	Test leakage on all digital pins	Leakage Low	200	Digital	-0.75	1.75	u	Amps	Numeric Limit	4
	Test leakage on all digital pins	Leakage High	210	Digital	-0.75	1.75	u	Amps	Numeric Limit	4
	Test idle power consumption	Idle Power Consumption	300	Vcc	1.75	2.5	u	Amps	Numeric Limit	5
	Test idle power consumption	Idle Power Consumption	301	Gnd	1.75	2.5	u	Amps	Numeric Limit	5
	Put DUT into test mode and verify	Test Mode Verify	500						Pass/Fail	6
	Test DUT part number register	Verify Part Number	510						Pass/Fail	7
	Test DUT part number register at different Vcc values	Verify Part Number - Max Vcc	512						Pass/Fail	10
	Test DUT part number register at different Vcc values	Verify Part Number - Min Vcc	514						Pass/Fail	10
	Measure and verify Vref voltage level	Vref DC Value	600	Vref_OScope	1.95	2.5		V	Numeric Limit	8
	Measure and verify Vref voltage level	Vref Min	602	Vref_OScope	1.75	INF		V	Numeric Limit	8
	Measure and verify Vref voltage level	Vref Max	604	Vref_OScope	-INF	2.75		V	Numeric Limit	8
	Set Vref calibration register	Verify Trim Write	550						Pass/Fail	8
</SemiconductorModuleTests>										
